id,name,singer,detected_key,confidence,first_chord,last_chord,num_chords,status,final_key
1000049,"חורף 73","להקת חיל חינוך",Cm,1,Fm,Cm,120,ok,Cm
1000050,"נתתי לה חיי","כוורת",Em,1,Em,Em,163,ok,Em
1000051,"יורם","יהודה פוליקר",Am,0.65,Am,Em,86,ok,Am
1000052,"דני","משינה",Em,0.77,Em,G,79,ok,Em
1000053,"איש קש","מוניקה סקס",C,0.42,Am,C,85,low-confidence,C
1000054,"התעשיה האבירית","קורין אלאל",F#m,0.98,F#m,Bm,93,ok,F#m
1000055,"יותר טוב כלום","עברי לידר",F,1,F,F,74,ok,F
1000056,"מעיין","קורין אלאל",Em,1,Em,Am,116,ok,Em
1000057,"גיטרה וכינור","שלום חנוך",Em,0.56,C,Em,125,ok,Em
1000058,"אור הירח","אביב גפן",E,1,E,Bbm,107,ok,E
1000059,"הכעס","רוקפור",D,1,Dm,D,111,ok,D
1000060,"גן נעול","שוקי ודורית",Em,1,Em,Em,124,ok,Em
1000061,"קפה אצל ברטה","הנשמות הטהורות",Em,1,Em,C,129,ok,Em
1000062,"ציף ציף מעל הרציף","דני ליטני",Em,1,Em,Db,162,ok,Em
1000063,"עכשיו","ג'וני שועלי",Am,0.7,Am,F,117,ok,Am
1000064,"אני אוהב","הכבש השישה עשר",G,0.75,G,C#m,98,ok,G
1000065,"אל תשאלי אם אני אוהב","דיוויד ברוזה ונימרוד לב",C,1,C,C,93,ok,C
1000066,"אני ואתה","אריק איינשטיין",Em,1,Em,A,130,ok,Em
1000067,"אימפריות נופלות לאט","דן תורן",G,1,G,D,103,ok,G
1000068,"משבר אמון","דני ליטני",G,0.42,G,Am,185,low-confidence,G
1000069,"כמה טוב שבאת הביתה","אריק איינשטיין",A,0.97,B,A,123,ok,A
1000070,"לכבוד הקיץ","גזוז",A,1,A,Em,207,ok,A
1000071,"תן לשים ת'ראש על דיונה","הגשש החיוור",E,1,E,E,117,ok,E
1000072,"יכול להיות שזה נגמר","שם טוב לוי",A,0.95,A,D,165,ok,A
1000073,"כהה כהה","שלום חנוך",E,0.85,D,E,120,ok,E
1000074,"המכשפות","המכשפות",Cm,1,Cm,Cm,108,ok,Cm
1000075,"מה איתי","החלונות הגבוהים",Dm,1,Dm,Dm,102,ok,Dm
1000076,"יש לי ציפור קטנה בלב","יגאל בשן",A,0.96,A,Bb,99,ok,A
1000077,"ארץ קטנה עם שפם","קורין אלאל",Am,0.44,Dm,C,63,low-confidence,Am
1000078,"גוליית","כוורת",A,0.95,A,E,245,ok,A
1000079,"גן סגור","הכבש השישה עשר",E,0.51,E,D,125,low-confidence,E
1000080,"הבלדה על יואל מוישה סלומון","אריק איינשטיין",A,1,A,A,99,ok,A
1000081,"סע לאט","אריק איינשטיין",C,1,C,G,168,ok,C
1000082,"זיוה","פוליאנה פרנק",F#m,1,F#m,B,117,ok,F#m
1000083,"שלא יגמר לי הלילה","הנשמות הטהורות",Em,1,Em,Em,125,ok,Em
1000084,"החדר האינטימי שלי","תערובת אסקוט",G,1,G,G,77,ok,G
1000085,"רוצה שנית","מאחורי הצלילים",F#m,0.36,Bm,D,95,low-confidence,F#m
1000086,"דרך הכורכר","אריק סיני",C,1,Dm,C,175,ok,C
1000087,"מה יהיה בסופינו","נורית גלרון",A,1,A,E,119,ok,A
1000088,"דוד ושאול ","אהוד בנאי",Em,1,Em,Em,125,ok,Em
1000089,"שמתי לי פודרה","אביתר בנאי ואפרת בן צור",A,1,A,A,74,ok,A
1000090,"שירו של שפשף","מאיר בנאי",Dm,1,Dm,Dm,77,ok,Dm
1000091,"מרוב אהבתי ","ארקדי דוכין",Em,1,Em,Em,106,ok,Em
1000092,"מה שעובר עלי ","איפה הילד",Em,0.88,G,C,94,ok,Em
1000093,"עברתי רק כדי לראות","אסתר שמיר",Dm,1,Dm,Dm,158,ok,Dm
1000094,"המגפיים של ברוך","כוורת",Am,1,Am,D,178,ok,Am
1000095,"בלוז כנעני","אהוד בנאי",Am,0.69,Dm,Dm,46,ok,Am
1000096,"כמו רוח","שרית וינו אלעד",Bm,0.7,Bm,Bm,69,ok,Bm
1000097,"יושב על הגדר","אריק איינשטיין",Am,1,Am,Am,96,ok,Am
1000098,"ואיך שלא","אריאל זילבר",G,0.64,Em,G,92,ok,G
1000099,"ספינת הזכרונות","נתנאלה",Em,1,Em,Em,172,ok,Em
1000100,"חלום כחול","פורטיסחרוף",D,1,D,D,124,ok,D
1000101,"מאיה","שלום חנוך",C,0.4,Dm,C,67,low-confidence,C
1000102,"כמו בלדה","האחים והאחיות",Em,1,Em,Em,129,ok,Em
1000103,"נח","מתי כספי ושוקולד מנטה מסטיק",E,0.94,Em,E,132,ok,E
1000104,"נפולאון","יוני בלוך",E,1,E,E,89,ok,E
1000105,"פרח הלילך","חוה אלברשטיין",Em,1,Em,Em,108,ok,Em
1000106,"עכשיו טוב","גלעד שגב",Bm,0.65,Bm,D,109,ok,Bm
1000107,"רגע מתוק וקצר","קובי הרי",E,0.71,C,E,135,ok,E
1000108,"נגעה בשמיים","משינה",Am,0.45,Am,F,132,low-confidence,Am
1000109,"היא התווכחה איתו שעות","משינה",Am,1,Am,Am,151,ok,Am
1000110,"הדפוק הזה","ירמי קפלן",C,1,C,C,108,ok,C
1000111,"יומולדת","ברי סחרוף",D,0.71,D,A,69,ok,D
1000112,"זה הכל בשבילך (דון קישוט)","דני סנדרסון ומזי כהן",C,0.55,Am,F,142,ok,C
1000113,"גשם","אלי לוזון",D,0.74,G,B,95,ok,D
1000114,"אהבת נעורי","שלום חנוך",Dm,1,Dm,Dm,150,ok,Dm
1000115,"נשל הנחש","מאיר אריאל",D,1,D,D,120,ok,D
1000116,"שיר אהבה בדואי","דיויד ברוזה",Em,1,Em,Em,124,ok,Em
1000117,"ילדי הירח","שלמה יידוב",E,1,E,E,157,ok,E
1000118,"אם תלך","הפרוייקט של עידן רייכל",Am,0.72,Am,Am,95,ok,Am
1000119,"השמיים הכחולים","אסף אמדורסקי",A,1,A,A,65,ok,A
1000120,"מי אוהב אותך יותר ממני","ארקדי דוכין",Gm,0.44,Bb,Am,97,low-confidence,Gm
1000121,"ממעמקים","הפרוייקט של עידן רייכל",Am,1,Am,Am,127,ok,Am
1000122,"היא לא יודעת מה עובר עלי","שלמה ארצי",Em,1,Am,Em,143,ok,Em
1000123,"איך שיר נולד","הכבש השישה עשר",G,0.33,F,G,89,low-confidence,G
1000124,"פרחים בקנה","להקת חיל התותחנים",Am,1,Am,Bbm,123,ok,Am
1000125,"הילדה הכי יפה בגן","הכבש השישה עשר",G,0.38,G,Eb,79,low-confidence,G
1000126,"רציתי שתדע","עוזי חיטמן",Dm,1,Dm,Dm,184,ok,Dm
1000127,"סוס עץ","אריק איינשטיין",Em,1,Em,Em,202,ok,Em
1000128,"קשה לי לא להתרגש","ג'קו אייזנברג ומאיה רוטמן",Ab,1,Ab,Ab,72,ok,Ab
1000129,"הידעת את הדרך","אפרים שמיר ושם טוב לוי",G,1,G,Bbm,67,ok,G
1000130,"נפלת חזק","איפה הילד",F#,0.37,F#m,Eb,132,low-confidence,F#
1000131,"הבא בתור הוא סוס","נושאי המגבעת",D,1,D,G,220,ok,D
1000132,"מישהו שומע אותי","איפה הילד",G,0.66,G,C,50,ok,G
1000133,"שומר החומות","להקת פיקוד מרכז",Dm,1,Dm,Dm,124,ok,Dm
1000134,"מחכים למשיח","שלום חנוך",Cm,0.64,Bm,Cm,96,ok,Cm
1000135,"לאבד אותך","שי סאבי לוי",Dm,0.99,Dm,Bb,121,ok,Dm
1000136,"אחרי שנסעת","מתי כספי",Bm,1,Bm,Bm,95,ok,Bm
1000137,"רכבות 68-80-88","דני רובס",C#m,1,A,Dm,144,ok,C#m
1000138,"סוף עונת התפוזים","תמוז",A,1,A,Dm,167,ok,A
1000139,"עד העונג הבא","המכשפות",Em,0.74,Em,Em,85,ok,Em
1000140,"למה לי פוליטיקה עכשיו","משינה",Dm,0.61,Gm,Gm,108,ok,Dm
1000141,"בראשית","גבי שושן",Am,0.47,Dm,Am,84,low-confidence,Am
1000142,"חתול מפלצת","פורטיסחרוף",D,0.75,D,Am,98,ok,D
1000143,"תשע בכיכר","גזוז",G,1,G,G,195,ok,G
1000144,"כולם אומרים","שלומי שבן",E,0.51,F,C,106,low-confidence,E
1000145,"יוצא לאור","אהוד בנאי",Am,1,Am,Am,74,ok,Am
1000146,"נרדם על החולות","ג'קו אייזנברג",G,1,G,F,89,ok,G
1000147,"זה כל הקסם","נמרוד לב ואורלי פרל",E,1,E,E,119,ok,E
1000148,"אני גיטרה","בני אמדורסקי",Am,1,Am,Am,106,ok,Am
1000149,"סיון","יגאל בשן",Am,1,Am,Am,88,ok,Am
1000150,"אם אתה בסביבה (העיירה שלי)","אריק סיני",C,1,C,C,119,ok,C
1000151,"חלליות","ברי סחרוף",Dm,1,Dm,Dm,221,ok,Dm
1000152,"האהבה שלי היא לא האהבה שלו","יצחק קלפטר",C,1,C,C,98,ok,C
1000153,"צליל מכוון","יצחק קלפטר",Am,1,Am,Am,119,ok,Am
1000154,"לא בא לי לשמוע","הדורבנים",Em,1,G,D,157,ok,Em
1000155,"בוקר טוב עולם","אבטיפוס",G,0.53,Em,G,211,low-confidence,G
1000156,"רק החיים","לאה שבת",E,0.96,E,E,113,ok,E
1000157,"ימי בנימינה","מתי כספי",A,1,A,A,117,ok,A
1000158,"אמא ודני","גזוז",G,1,G,Bb,255,ok,G
1000159,"ילד מזדקן","כוורת",Am,1,Am,Am,127,ok,Am
1000160,"הנה פתחתי חלון","ריקי גל",Cm,1,Cm,Cm,87,ok,Cm
1000161,"תנו לגדול בשקט","גידי גוב",F#m,1,A,F#m,100,ok,F#m
1000162,"רוח סתיו","גרי אקשטיין",B,0.5,B,E,104,low-confidence,B
1000163,"אלף כבאים","דודה",G,1,G,G,247,ok,G
1000164,"השמלה ממדריד","מוניקה סקס",Am,1,Am,C,52,ok,Am
1000165,"רדיו חזק","תיסלם",Em,0.36,Am,A,231,low-confidence,Em
1000166,"כשאת בוכה את לא יפה","תיסלם",C,1,C,C,113,ok,C
1000167,"אחריות","יוני בלוך",E,0.74,E,E,90,ok,E
1000168,"חשמל זורם בכפות ידיך","רותי נבון",Bb,0.39,Bb,F,108,low-confidence,Bb
1000169,"כבר הסתיו עכשיו","תיסלם",D,0.39,A,Bm,131,low-confidence,D
1000170,"השיר שיביא לך אהבה","גלי עטרי",A,1,G,A,113,ok,A
1000171,"גשם בעיתו","רותי נבון",G,1,G,G,172,ok,G
1000172,"ימי הפרח והאהבה","קורין אלאל",Bm,0.47,Em,A,150,low-confidence,Bm
1000173,"קח אותי","היהודים",Am,0.69,C,Am,134,ok,Am
1000174,"הזמן שלך","היהודים",Am,0.88,F,Am,100,ok,Am
1000175,"השיר שלנו","אביב גפן",C,1,C,C,107,ok,C
1000176,"ערמונים מהאש","גלי עטרי",Dm,1,A,Dm,83,ok,Dm
1000177,"מילים יפות","גזוז",A,1,A,A,80,ok,A
1000180,"פנים ושמות","דני רובס",E,0.67,E,E,86,ok,E
1000181,"עד מחר","אביתר בנאי",F,1,Dm,F,103,ok,F
1000182,"תחזור תחזור","משינה",D,0.63,D,A,68,ok,D
1000183,"שיעור מולדת","כוורת",E,0.81,C#m,E,95,ok,E
1000184,"רואים רחוק רואים שקוף","שמוליק קראוס",Am,1,Am,Bm,97,ok,Am
1000185,"שיר של אחרי מלחמה","אריק איינשטיין",C,1,C,C,94,ok,C
1000186,"ערב מול הגלעד","אריק סיני",Bm,1,Bm,Bm,116,ok,Bm
1000187,"מהמרחקים","גלי עטרי וסגיב כהן",E,1,E,E,106,ok,E
1000188,"רק אתמול","גלי עטרי",Gm,1,Gm,Gm,105,ok,Gm
1000189,"ילדות נשכחת","נורית גלרון",Am,1,Am,Am,101,ok,Am
1000190,"פרח","יהודה פוליקר",G,1,G,Ab,96,ok,G
1000191,"לאורך הים","עפרה חזה",Am,1,Am,E,93,ok,Am
1000192,"דברים שרציתי לומר","יהודה פוליקר",Dm,1,Dm,Dm,72,ok,Dm
1000193,"מישהו הולך תמיד איתי","עפרה חזה",Gm,1,Gm,G,127,ok,Gm
1000194,"החיטה צומחת שוב","חוה אלברשטיין",Cm,1,Eb,Cm,146,ok,Cm
1000195,"גרה מול המים","ריטה",E,1,E,E,89,ok,E
1000196,"הרדופים","שלמה ארצי",Dm,1,Dm,Dm,113,ok,Dm
1000197,"מישהו","יהודית רביץ",Am,1,Am,Am,76,ok,Am
1000198,"הקיץ האחרון","שפיות זמנית",G,1,Dm,G,119,ok,G
1000199,"יורם","גידי גוב",Dm,1,Dm,Dm,105,ok,Dm
1000200,"זמר נוגה","החלונות הגבוהים",C,1,C,E,61,ok,C
1000201,"היה לי חבר, היה לי אח","נתנאלה",C#m,1,E,C#m,137,ok,C#m
1000203,"שבתות וחגים","יהודית רביץ",D,1,D,D,119,ok,D
1000204,"פגישה חצי פגישה","חנן יובל",F#m,1,F#m,F#m,120,ok,F#m
1000205,"באהבתנו","יהודית רביץ",Bm,0.52,D,Bm,86,low-confidence,Bm
1000206,"תמונה","יהודית רביץ",Am,1,Am,Am,107,ok,Am
1000207,"ימים של שקט","לולה",G,0.86,G,G,118,ok,G
1000208,"אנטארקטיקה","קורין אלאל",D,0.72,Em,D,90,ok,D
1000209,"עכשיו הכל בסדר","יהודית רביץ",Em,0.85,E,Em,114,ok,Em
1000210,"זן נדיר","קורין אלאל",Dm,1,Dm,Dm,130,ok,Dm
1000211,"יש לי חולשה לרקדנים","ריקי גל",Dm,0.73,Dm,C,141,ok,Dm
1000212,"רחבת הריקודים","יהודית רביץ",A,0.95,A,D,122,ok,A
1000213,"לילה לי","יוריק בן דוד",Em,1,Am,Em,171,ok,Em
1000214,"הגננים היום עצובים","יהודית רביץ",D,1,D,Am,68,ok,D
1000215,"דרך ארוכה","גלי עטרי",C,1,C,C,122,ok,C
1000216,"למחרת","יהודית רביץ",Em,1,Em,Em,63,ok,Em
1000217,"לילה","שלום חנוך",C,1,C,C,110,ok,C
1000218,"שיר המכולת","כוורת",Em,1,Em,Em,195,ok,Em
1000219,"אצלך בעולם","היהודים",C#m,1,C#m,C#m,96,ok,C#m
1000220,"אמריקה","פורטיסחרוף",C,1,C,G,125,ok,C
1000221,"שובי לביתך","שם טוב לוי",Am,1,Am,Am,78,ok,Am
1000222,"אה אה אה","אפרת גוש",C,1,C,C,88,ok,C
1000223,"לראות את האור","אפרת גוש",Am,0.53,F,Am,105,low-confidence,Am
1000224,"מכה אפורה","מוניקה סקס",D,1,D,F#m,125,ok,D
1000225,"לקחת את ידי בידך","יהודית רביץ",Dm,1,Dm,Dm,164,ok,Dm
1000226,"יש בי עוד כח","דין דין אביב",Am,0.95,Am,C,104,ok,Am
1000227,"זאת שמעל לכל המצופה","דני סנדרסון",Dm,1,Dm,Dm,118,ok,Dm
1000228,"לחיות נכון","רונה קינן",B,0.58,B,B,97,ok,B
1000229,"שפת אימי","קורין אלאל",A,0.41,Dm,A,81,low-confidence,A
1000230,"אין עוד יום","גידי גוב",G,1,G,G,113,ok,G
1000231,"ערב אבוד","דודה",E,1,E,E,78,ok,E
1000232,"בלעדייך","גידי גוב",E,1,E,E,126,ok,E
1000233,"חם ומתוק","גן חיות",B,1,B,B,137,ok,B
1000234,"חשבתי שיהיה רומנטי","אוהד חיטמן",Em,1,Em,Em,92,ok,Em
1000235,"תגידי לו","אוהד חיטמן",D,1,D,Bm,122,ok,D
1000237,"ערב של יום בהיר","אפרים שמיר",G,1,G,G,171,ok,G
1000238,"אוהב להיות בבית","אריק איינשטיין",Em,0.72,Em,A,123,ok,Em
1000239,"צא מזה","אריק איינשטיין",C,1,C,C,124,ok,C
1000242,"ירח כחול","גן חיות",Dm,1,Dm,Dm,97,ok,Dm
1000243,"בדרך אל האושר","דני רובס",D,0.73,D,D,196,ok,D
1000244,"במרחק נגיעה מכאן","יזהר אשדות",Em,1,Em,Em,106,ok,Em
1000245,"כבר עכשיו","ירמי קפלן",E,1,Am,E,68,ok,E
1000247,"בלדה לעוזב קיבוץ","כיף התקווה הטובה",E,0.92,E,B,182,ok,E
1000248,"אף פעם לא תדעי","שלמה ארצי",Em,1,Bm,Em,120,ok,Em
1000250,"עוד פגישה","תיסלם",G,0.58,C,G,143,ok,G
1000251,"אין מקום אחר","משינה",C#m,0.37,C#m,A,110,low-confidence,C#m
1000252,"תפסיק לכוון אלי","תיסלם",C,0.45,Am,D,166,low-confidence,C
1000253,"משהו קטן וטוב","משינה",Am,0.4,D,Am,117,low-confidence,Am
1000254,"חללית","גזוז",G,1,G,G,132,ok,G
1000255,"הולך בטל","תמוז",B,1,B,B,138,ok,B
1000256,"התחלה חדשה","בנזין",A,1,A,E,133,ok,A
1000257,"המכתב","אביב גפן",B,1,B,B,107,ok,B
1000258,"חצבים פורחים","תיסלם",Em,0.58,Em,Abm,174,ok,Em
1000259,"ככה את רצית אותי","תמוז",F,1,F,F,254,ok,F
1000260,"שוב היא כאן","יוני רכטר",F#m,0.74,A,G,154,ok,F#m
1000261,"מביאה הכל","שלום חנוך",A,1,A,A,113,ok,A
1000262,"מעביר דף (המיסטיקנים הסינים)","נורית גלרון",Dm,1,Dm,Dm,159,ok,Dm
1000263,"הללויה","חלב ודבש",Gm,0.67,G,Bb,91,ok,Gm
1000264,"חזקה מהרוח","גלי עטרי",Dm,1,Dm,Dm,107,ok,Dm
1000265,"לילות לבנים","אביב גפן",C#m,0.4,E,F,69,low-confidence,C#m
1000266,"מה שאת אוהבת","גלי עטרי",Em,0.45,C,B,118,low-confidence,Em
1000267,"דם חם","שרי",Am,1,Am,Am,117,ok,Am
1000268,"אחכה לך בשדות","משינה",E,1,E,E,197,ok,E
1000269,"איך הוא שר","דני רובס",Em,1,Em,Em,104,ok,Em
1000270,"תשאירי לי מקום לחבק אותך","אבטיפוס",F#m,1,F#m,F#m,95,ok,F#m
1000271,"עניין של זמן","גידי גוב",C,1,C,C,88,ok,C
1000272,"תחרות כלבים","אביתר בנאי",F#m,0.6,F#m,A,121,ok,F#m
1000273,"שוב לא שקט","רוקפור",G,1,G,G,118,ok,G
1000274,"ימים טובים","נמרוד לב",D,0.37,Bm,Ab,119,low-confidence,D
1000275,"לראות אותה היום","תיסלם",Em,0.91,Em,Em,125,ok,Em
1000276,"כולם יודעים","אהוד בנאי",Em,0.6,B,Em,89,ok,Em
1000277,"איש וכינור","שפתיים",Em,1,Em,Em,91,ok,Em
1000278,"התחלות","יזהר אשדות",Em,0.63,Em,Em,107,ok,Em
1000279,"מתנות קטנות","רמי קלינשטיין",Em,1,Em,Em,131,ok,Em
1000280,"רק אל תלכי","זקני צפת",C,1,C,C,99,ok,C
1000281,"בתוך נייר עיתון","טיפקס",Am,1,C,Am,151,ok,Am
1000282,"רבות הדרכים","דניאל סלומון ודנה עדיני",Gm,1,Gm,Am,134,ok,Gm
1000284,"מכתב לילד","דוד זוהר מלניק",D,1,D,D,130,ok,D
1000285,"דמיון חופשי","יצחק קלפטר",Em,0.78,Em,Em,73,ok,Em
1000286,"בוקר יום ראשון","יהודה פוליקר",Gm,1,Gm,Gm,89,ok,Gm
1000289,"נערת רוק","ריקי גל",Fm,0.87,Ab,Fm,98,ok,Fm
1000292,"סימני הזמן","משה פרץ",Dm,0.59,Dm,Bb,80,ok,Dm
1000293,"אם זאת מלחמה","משה פרץ",Dm,0.96,Dm,Em,97,ok,Dm
1000294,"רק בשביל לקבל חיבוק","חמי רודנר ואיגי וקסמן",Bm,1,Bm,G,124,ok,Bm
1000295,"מבול","רונה קינן",F#m,1,F#m,F#m,72,ok,F#m
1000296,"נגד הרוח","שלום חנוך",A,1,A,A,146,ok,A
1000297,"הדרכים הידועות","שלום חנוך",Gm,0.73,Gm,G,144,ok,Gm
1000300,"לב חופשי","מוקי",Bbm,1,Bbm,Bbm,123,ok,Bbm
1000301,"חתונה לבנה","שלום חנוך",Am,1,C,Am,67,ok,Am
1000302,"אין קץ לילדות (בצהרי היום)","פורטיסחרוף",Dm,1,D,C,149,ok,Dm
1000303,"נאחז באוויר","גידי גוב",E,1,E,E,65,ok,E
1000304,"אם כבר","היהודים",Em,1,D,Em,80,ok,Em
1000305,"חופשי זה לגמרי לבד","בנזין",D,0.95,D,A,128,ok,D
1000307,"צל כבד","כשניקו תתחיל לדבר",Dm,1,Dm,Dm,88,ok,Dm
1000308,"תם ולא נשלם","עילי בוטנר וילדי החוץ",Em,1,Em,Em,104,ok,Em
1000309,"תן לי (מה שהיה תשכח מזה)","יגאל בשן",E,1,E,F,78,ok,E
1000310,"עוד לילה","הדורבנים",C,0.38,Am,Db,159,low-confidence,C
1000311,"סיגפו","בית הבובות",Am,1,Am,Am,153,ok,Am
1000312,"בגלל הרוח","שלומי שבת",G,1,G,G,115,ok,G
1000313,"גאון","נורית גלרון",Am,1,Am,Am,102,ok,Am
1000314,"כל מה שיש לי","נתן גושן",G,1,G,G,74,ok,G
1000315,"מחר הוא יחזור","דני רובס",Dm,1,Dm,Dm,173,ok,Dm
1000316,"גג","ג'ירפות",Gm,1,Gm,Bb,69,ok,Gm
1000317,"עומד על צוק","היי פייב",Em,0.72,Em,E,93,ok,Em
1000319,"אורחים לקיץ (אצלינו בחצר)","נעמי שמר",Em,1,Em,Em,144,ok,Em
1000320,"המשפחה שלי","שלמה ניצן",Am,1,Am,Am,116,ok,Am
1000321,"עוד לא אהבתי די","יהורם גאון",A,0.53,A,Abm,156,low-confidence,A
1000323,"הכל פתוח","עופר לוי ולאה לופטין",C,0.72,C,Am,198,ok,C
1000324,"מדוע לא באת","ירמי קפלן",A,1,G,A,72,ok,A
1000325,"נחמד","כוורת",C,0.31,Ebm,G,167,low-confidence,C
1000326,"גורל נדוש","יובל בנאי",G,0.6,G,A,107,ok,G
1000327,"חוזה לך ברח","אושיק לוי",Em,0.62,Am,Em,85,ok,Em
1000328,"הכי יפה בעולם","מאור כהן",C,0.45,C,C,164,low-confidence,C
1000329,"הולכת ממך","שרון חזיז",Am,0.47,Am,G,89,low-confidence,Am
1000330,"היא יושבה לחלון","אריק איינשטיין",Em,1,Em,Em,102,ok,Em
1000331,"חמימות חולפת","דנה ברגר",G,0.83,G,G,189,ok,G
1000332,"שועל במנוסה","פורטיסחרוף",Gm,1,Gm,F,83,ok,Gm
1000333,"באתי אלייך","אייל גולן",Dm,0.66,Dm,Dm,85,ok,Dm
1000334,"לבן בחלום שחור","איפה הילד",Fm,0.32,D,G,129,low-confidence,Fm
1000335,"שקיעתה של הזריחה","פורטיסחרוף",Am,1,A,Am,133,ok,Am
1000336,"עכשיו אני","החברים של נטאשה",F#,1,F#,F#,116,ok,F#
1000337,"תותים","אתניקס",G,1,G,G,113,ok,G
1000338,"בלעדייך","אייל גולן",Bm,1,Bm,Bm,120,ok,Bm
1000339,"פצעים ונשיקות","מוניקה סקס",D,1,D,Am,156,ok,D
1000340,"זו ילדותי השניה","מתי כספי",Fm,1,Fm,Fm,165,ok,Fm
1000341,"מה תאמרי","יזהר אשדות",Am,1,Am,Am,116,ok,Am
1000342,"היא רק רוצה לרקוד","משה פרץ ועומר אדם",Bm,1,Bm,Bm,121,ok,Bm
1000343,"אל תפחד","אהוד בנאי",C,1,C,F,88,ok,C
1000344,"אם תבוא","נינט טייב",Am,1,F,Am,115,ok,Am
1000345,"הכוס הכחולה","עברי לידר",Fm,1,Fm,Fm,97,ok,Fm
1000346,"עוד שבת","טיפקס",Cm,1,Cm,Cm,105,ok,Cm
1000347,"הכל בגלל האהבה","אהוד בנאי וגידי גוב",Fm,1,Fm,Fm,142,ok,Fm
1000348,"שישי שבת","זקני צפת",Am,1,Am,Am,114,ok,Am
1000349,"שוב","ג'וזי כץ ושמוליק קראוס",Am,1,Am,Am,94,ok,Am
1000350,"אצל הדודה והדוד","דני סנדרסון",Ab,1,Ab,C#m,175,ok,Ab
